3154078b-0d2e-4086-908a-79cc24496219,96,90,,,,,3325,,,,,,,,,2 graczy,3 graczy,4 graczy,5 graczy,all
6e36a89e-55f7-471f-949a-0b1bb6fa7bc9,95,147,,,,,,,,,,,,170,,0,0,0,0,0
fb270d05-278b-4fc2-906d-16ce1bea4aea,93,86,,,,,,,,,,,,,,243,"240,333333333333","241,75","227,2",3318
ece8c7e1-4653-4f8f-90f6-2706384a4d03,90,74,,,,,,,,,,,,,,,,,,
83ebf567-e725-45f8-81fe-826bf300835b,96,103,,,,,,,,,,,,,,,,,,
e2f5ebaf-af9d-4362-81b7-32266badef13,124,104,,,,,,,,,,,,,,,,,,
2991731b-564a-4d70-bf2a-5dad2b060c0a,100,105,,,,,,,,,,,,,,,,,,
79483ae0-82db-421d-a899-6f1875941019,118,100,,,,,,,,,,,,,,,,,,
e0f5bae2-4805-4390-91a8-9241bea0a053,112,119,,,,,,,,,,,,,,,,,,
9f1423d5-b2c2-4bf1-a6f2-5930e3312ee6,108,107,,,,,,,,,,,,,,,,,,
8fe4c317-0f58-4121-afa8-e9da12b91445,97,102,,,,,,,,,,,,,,,,,,
e2ec021f-121c-4791-94c2-05f1d52df2f9,98,105,,,,,,,,,,,,,,,,,,
0a037206-7e33-42b3-8a43-dd320e13f787,85,108,,,,,,,,,,,,,,,,,,
6e8a9381-ffd8-47a2-ae21-34f5ced462f7,93,99,,,,,,,,,,,,,,,,,,
fail 2 in turn: 49,,,,,,,,,,,,,,,,,,,,
909c03c6-ef2e-4e42-957f-9b8c29367172,98,110,,,,,,,,,,,,,,,,,,
4c89809d-3664-48dd-a09e-f8ee56a68686,127,113,,,,,,,,,,,,,,,,,,
aa8166f0-fbe7-4453-9d60-ca9d37377213,102,119,,,,,,,,,,,,,,,,,,
36cd35b9-ad9c-434e-81c4-440b991e6b1a,117,103,,,,,,,,,,,,,,,,,,
694ab161-702e-4d81-a13e-0b0f7e68d36b,95,112,,,,,,,,,,,,,,,,,,
2505dfd0-60c1-4037-9d1f-0eee76102a41,96,87,,,,,,,,,,,,,,,,,,
d501b1be-ecd3-4731-8554-38dbd71a1a88,109,92,,,,,,,,,,,,,,,,,,
e6757d11-2939-4b76-acba-868a16ee47e8,111,94,,,,,,,,,,,,,,,,,,
d3136e94-5128-48a8-a78c-772cba7f7cad,117,102,,,,,,,,,,,,,,,,,,
9545e38f-a963-4c9f-82c6-45cc0c85b34c,120,117,,,,,,,,,,,,,,,,,,
c7a26029-5263-4c1a-9565-41adb31fd1fb,119,86,,,,,,,,,,,,,,,,,,
9cea2a67-4372-4015-bce2-606725521ba1,128,112,,,,,,,,,,,,,,,,,,
c81d4b4b-b019-430c-a3c0-dd06f45046f7,76,104,,,,,,,,,,,,,,,,,,
f8000d9d-8e18-4866-a5fe-8e03489c20e7,71,113,,,,,,,,,,,,,,,,,,
26006204-e994-4f52-a091-3bed3ebf1728,111,129,,,,,,,,,,,,,,,,,,
daed7b4d-d8e5-4bca-94a1-dede00b40f1b,138,111,,,,,,,,,,,,,,,,,,
51daf42f-1e89-4672-b563-91b9d94fae50,137,115,,,,,,,,,,,,,,,,,,
ebace755-c7a0-4b1e-bb7d-e3329e212a83,110,55,,,,,,,,,,,,,,,,,,
53bec492-d154-4636-8fa2-7ff1d4ee13c6,98,99,,,,,,,,,,,,,,,,,,
9ebf9af8-8aa5-455f-882e-151a3950fcd4,114,86,,,,,,,,,,,,,,,,,,
25a92344-e509-4e47-8de6-10357bd82937,109,113,,,,,,,,,,,,,,,,,,
33cd2424-1108-4f46-a71e-cf25aa3ab468,123,110,,,,,,,,,,,,,,,,,,
b6ab5d2c-33c7-4225-935f-60c2656f28de,63,83,,,,,,,,,,,,,,,,,,
9268eeb3-76e2-421f-95bb-d01ab4289432,94,105,,,,,,,,,,,,,,,,,,
77cd719c-4511-43d1-a008-e34783ebaa8b,85,86,,,,,,,,,,,,,,,,,,
f6c837bd-720e-4ab9-9e02-6e5285d5b31e,100,108,,,,,,,,,,,,,,,,,,
758041c6-1f07-41ea-8b5d-b31f0ac4ea03,152,148,,,,,,,,,,,,,,,,,,
3a2e66b8-1c22-47db-bfb9-597df8926a2e,125,90,,,,,,,,,,,,,,,,,,
2f641602-b3d1-46d7-bf56-7d8d6da8e940,111,98,,,,,,,,,,,,,,,,,,
a74b8b12-9088-4a12-b2ea-20aa6b104783,108,111,,,,,,,,,,,,,,,,,,
34927e74-30f8-43b0-8345-947024a6b161,100,123,,,,,,,,,,,,,,,,,,
dfba4251-8d3f-4f10-b57a-24789b33fd4a,122,83,,,,,,,,,,,,,,,,,,
3a02df4b-6582-4ce8-b5b2-55b66c702a1d,93,118,,,,,,,,,,,,,,,,,,
7a7dbaf6-aebc-46e2-9fd7-4445ca955790,112,129,,,,,,,,,,,,,,,,,,
45db62d6-9099-4091-aa04-b0d92499533a,109,90,,,,,,,,,,,,,,,,,,
96def084-91fc-45e1-afaa-0525bc0b580d,90,108,,,,,,,,,,,,,,,,,,
58938fd5-3db9-4d62-9910-7525ac86e2d6,103,108,,,,,,,,,,,,,,,,,,
d9fa0c57-c886-4ab7-a2f4-9aedc7a8c2fd,109,106,,,,,,,,,,,,,,,,,,
1ec2f865-bec9-46d4-a80f-e3074f122819,124,115,,,,,,,,,,,,,,,,,,
5affd09b-824b-4c7a-b988-b5bf0ae4609d,78,122,,,,,,,,,,,,,,,,,,
ae49125a-2287-4fe8-9390-cf6ed1aa0993,101,103,,,,,,,,,,,,,,,,,,
0c841d57-8c18-4631-81a0-147c44f776ca,110,115,,,,,,,,,,,,,,,,,,
c09811ce-4bbc-4074-8e80-6dccf4697126,61,114,,,,,,,,,,,,,,,,,,
e21f38cf-781a-4a5e-8053-334e9c38d4f8,102,105,,,,,,,,,,,,,,,,,,
cf2ec6c2-b37d-4059-9dfc-327555d40211,153,135,,,,,,,,,,,,,,,,,,
fc75ffb0-edfc-4680-85d4-1acc0a75c384,102,112,,,,,,,,,,,,,,,,,,
5fba9be2-6a5b-487b-a3b4-669f2f5055c2,89,93,,,,,,,,,,,,,,,,,,
961d7ba9-c0b6-40fb-af26-1c455bafc21c,117,107,,,,,,,,,,,,,,,,,,
8d08bdca-b62f-4eba-a62a-3301fad079ae,101,94,,,,,,,,,,,,,,,,,,
3ac069c9-6b30-4bff-8296-efc496623db5,80,113,,,,,,,,,,,,,,,,,,
eb5a960d-9d3d-46de-8c5a-635b9df0d8b1,87,100,,,,,,,,,,,,,,,,,,
d2cce685-c9cd-46d8-abac-3e5993fbcc24,125,121,,,,,,,,,,,,,,,,,,
0bd03b35-6eaf-44b0-8648-43ab81878097,99,109,,,,,,,,,,,,,,,,,,
8e802043-f812-4bb7-b3cb-e03caeeaa6c0,108,100,,,,,,,,,,,,,,,,,,
21340809-655b-4b02-9b8c-e4098236f0ff,107,136,,,,,,,,,,,,,,,,,,
952b17ba-8921-4ddd-b76d-d3f2da05f81b,119,111,,,,,,,,,,,,,,,,,,
87d7d495-e67b-4b56-9796-6999d78c5c8a,113,110,,,,,,,,,,,,,,,,,,
2dd8f535-eb37-436b-85cc-1860e3a9b95b,97,107,,,,,,,,,,,,,,,,,,
360ef4b6-6ddc-470f-a9ac-c350df1d6e69,113,113,,,,,,,,,,,,,,,,,,
a2ac4205-781f-40ac-9cac-2935c435051b,84,95,,,,,,,,,,,,,,,,,,
50e9b981-e0c5-4165-bffc-c638f45036fd,97,73,,,,,,,,,,,,,,,,,,
6aef1773-0f03-402f-a442-4f9e59a7865f,158,109,,,,,,,,,,,,,,,,,,
9d68c578-9487-4a48-ba5f-5481f03eb19f,77,94,,,,,,,,,,,,,,,,,,
c828b22a-8ed2-4a9f-a0f4-8d14578b6c59,97,104,,,,,,,,,,,,,,,,,,
04ae25c8-25ea-4b48-97d7-353763941a60,95,95,,,,,,,,,,,,,,,,,,
5f6f9b92-3107-4221-95ce-5bdce98f1cae,108,117,,,,,,,,,,,,,,,,,,
52cf0651-4fcc-4713-b1a8-12d0e1d56763,101,120,,,,,,,,,,,,,,,,,,
f5452e89-37f5-416a-8ae4-b5f2af2eefca,94,116,,,,,,,,,,,,,,,,,,
d764dffa-9ab4-4299-84ad-606244b8854d,103,108,,,,,,,,,,,,,,,,,,
59b0cd39-194b-4e03-afa8-963e5c4245e2,101,100,,,,,,,,,,,,,,,,,,
9801714a-645c-4d79-acf6-05ae9975c956,111,118,,,,,,,,,,,,,,,,,,
8a8a0e23-83ef-4d19-bc9d-33d2eb36abd7,96,114,,,,,,,,,,,,,,,,,,
b99adeeb-4577-4ef5-b8a5-2edfc992fd0d,96,104,,,,,,,,,,,,,,,,,,
9cd3ad7b-0de0-4305-b8f0-af051972a013,100,114,,,,,,,,,,,,,,,,,,
b224a8d4-a36e-4a87-993f-960330fc82f9,116,131,,,,,,,,,,,,,,,,,,
07c8c336-33dd-40cb-8c43-3944203b6463,107,104,,,,,,,,,,,,,,,,,,
ddb54f3d-a2d3-41ce-96fe-ae4a161e783a,87,78,,,,,,,,,,,,,,,,,,
5b026f3f-c882-4cfc-9968-cecbdba99222,98,94,,,,,,,,,,,,,,,,,,
23df14b1-9769-4a8e-b2b0-6bdb0e5f056b,107,129,,,,,,,,,,,,,,,,,,
f96ab57d-fc65-4650-85d8-b91b26debbc5,87,88,,,,,,,,,,,,,,,,,,
1fdbcd8a-99d2-4015-a6dd-ff3f328cfaff,109,111,,,,,,,,,,,,,,,,,,
35d2f331-a2dd-4efd-b375-b2cdaa0da34d,94,108,,,,,,,,,,,,,,,,,,
8bda45d2-0021-4d20-accb-8eea0b29aded,99,95,,,,,,,,,,,,,,,,,,
57d36a05-48f6-4599-a523-ab61a8ac5b6a,95,120,,,,,,,,,,,,,,,,,,
fail 2 in turn: 46,,,,,,,,,,,,,,,,,,,,
50638409-a24f-49e9-ae32-6dcbc8be3e03,104,83,,,,,,,,,,,,,,,,,,
5036ee38-0ae6-4ce0-93e1-942e954d6542,113,115,,,,,,,,,,,,,,,,,,
2c718bd8-4e41-48a8-b9f6-5b90fa163ade,94,109,,,,,,,,,,,,,,,,,,
a93c6c27-cfb2-4f76-8635-4df2e26c2f07,93,104,,,,,,,,,,,,,,,,,,
9a1a077a-3d4d-491f-a56a-fd638fb6f911,101,91,,,,,,,,,,,,,,,,,,
27dbcbdd-d6aa-4b40-adb7-4403fde4e291,148,123,,,,,,,,,,,,,,,,,,
987f840f-ea4d-4d07-a17a-07c46282a4c3,106,92,,,,,,,,,,,,,,,,,,
23da2c93-3e47-4f6f-92b8-a587740e2018,105,113,,,,,,,,,,,,,,,,,,
3a43007a-9ecd-4d9c-b2c7-65f5dc82028a,108,110,,,,,,,,,,,,,,,,,,
dcc8f9cb-105f-4b39-af3a-d8a737bc1179,103,100,,,,,,,,,,,,,,,,,,
fb28a0a2-522b-4203-a606-df17b7bd1acc,133,133,,,,,,,,,,,,,,,,,,
1d5df7ce-ede8-445a-9ee8-08102838be50,114,107,,,,,,,,,,,,,,,,,,
9b59b5e9-1f08-496e-9d22-a0259dc49059,139,111,,,,,,,,,,,,,,,,,,
bada9165-f357-4ea1-862b-4ec5db665356,92,66,,,,,,,,,,,,,,,,,,
