fail 5 in turn: 37
fail 5 in turn: 41
fail 5 in turn: 39
fail 5 in turn: 33
fail 5 in turn: 39
fail 5 in turn: 37
fail 5 in turn: 40
fail 5 in turn: 40
96adae3d-c70a-4f0e-a2b2-ad29937b8cca;56;80;69;97;105;
fail 5 in turn: 39
fail 5 in turn: 41
fail 5 in turn: 39
a9558874-08ff-4739-ab88-13e5c80a33e0;76;117;108;96;109;
070aad43-8e7c-4965-8a74-227c03b0ac38;113;97;85;88;64;
3ca8fe98-1dbf-48d8-acd1-8f97e09cd0fd;89;86;79;83;104;
fail 5 in turn: 39
51af84e0-b3dd-478e-8559-80e71a068c3a;114;90;100;89;67;
fail 5 in turn: 43
8994a49a-4041-4e36-a75b-7aba3e80fe76;119;108;114;120;103;
fail 5 in turn: 42
a0af9478-b6ee-4213-9a8e-d7100dca5d35;116;98;101;91;86;
3e19be92-035a-4f14-ad6d-b88e677291b3;94;77;60;63;85;
2a96c497-234e-4c1c-936f-d4bb0f80d2fe;94;114;95;99;95;
fail 5 in turn: 37
fail 5 in turn: 40
fail 5 in turn: 38
72acf31d-ffa0-4fa6-9d8c-304d6591f605;54;70;69;56;55;
9b3b0a8d-4087-4dae-9645-5cdc44913b7a;86;93;100;88;88;
2d3a7a9c-a0af-4673-8688-26f1e3749b47;151;79;99;53;86;
fail 5 in turn: 40
1ad88c42-ad5d-4ee5-a2c4-3eac4e76e371;78;74;110;83;93;
2108089b-a87f-4426-b5c5-643ed3911b06;83;93;66;94;100;
4fc31dec-c2cd-40e6-8baa-b4e0d60aad6f;109;106;93;95;106;
85af0977-97ae-4eed-8091-eca1106d6737;95;85;103;105;109;
676ed828-5528-4435-9d0d-0d70240a2f4e;98;75;99;100;78;
fail 5 in turn: 38
fail 5 in turn: 37
fail 5 in turn: 40
fail 5 in turn: 36
372845e9-e17a-4299-a2fa-ec5b942dffe3;131;112;113;104;113;
4e2626a2-f141-4f18-8fed-b872289e252f;106;118;85;109;119;
fail 5 in turn: 44
0b3f5b9a-a891-4210-870f-d233e2d55d4e;110;110;101;134;104;
4d6d9878-281f-4689-9192-ff0ffc9085ab;104;121;57;94;75;
